id,title,description,skills,link
1,AI Resume Parser,"Built a resume parser using NLP to extract skills, experience, education, and contact details from PDF and DOCX resumes. Used Python, SpaCy, and regex to clean and structure data. Achieved 92% accuracy on entity extraction.","Python, NLP, SpaCy, Regex",https://github.com/yourname/resume-parser
2,Portfolio Website,"Created a responsive portfolio website using HTML, CSS and JavaScript. Integrated a contact form with email notifications and deployed on GitHub Pages. Improved page load time by 35% using optimized assets.","HTML, CSS, JavaScript, Web Deployment",https://yourname.github.io
3,Sales Data Dashboard,"Built a sales dashboard using Python and Streamlit to visualize sales trends, KPIs, and forecasts. Integrated charts, filters, and downloadable reports. Reduced manual reporting time by 50% for sales team.","Python, Streamlit, Data Visualization, Pandas",https://github.com/yourname/sales-dashboard
4,Chatbot using LangChain,Built a chatbot with LangChain and local LLM. Implemented document search using ChromaDB and created a conversational interface with memory. Used this chatbot to answer FAQs from company documents.,"LangChain, ChromaDB, LLM, Conversational AI",https://github.com/yourname/chatbot
5,Customer Support Automation,Developed a ticket classification system using machine learning to route support tickets to the correct team. Achieved 87% accuracy and reduced response time by 40%. Integrated with Slack notifications.,"Python, ML, Scikit-Learn, Slack API",https://github.com/yourname/support-automation
6,E-commerce Recommendation Engine,Built a recommendation engine using collaborative filtering and content-based filtering to suggest products to users. Improved click-through rate by 18% and sales conversion by 12%.,"Python, Recommender Systems, Pandas, NumPy",https://github.com/yourname/recommendation-engine
7,Twitter Sentiment Analyzer,Created a sentiment analysis tool that analyzes tweets for brand sentiment using NLP. Used Tweepy to fetch tweets and visualized sentiment trends using Plotly.,"Python, NLP, Tweepy, Plotly",https://github.com/yourname/sentiment-analyzer
8,Financial Forecasting Model,Built a financial forecasting model using time series analysis (ARIMA) to predict monthly revenue. Improved forecast accuracy and generated reports for management review.,"Python, Time Series, ARIMA, Forecasting",https://github.com/yourname/forecasting-model
9,Image Classifier,Built an image classification model using CNNs in TensorFlow to classify 10 categories of images. Achieved 91% accuracy on test dataset and deployed model using Flask.,"TensorFlow, CNN, Flask, Python",https://github.com/yourname/image-classifier
10,Automation Script for Excel,Built automation scripts to clean and process large Excel datasets using Python. Reduced manual data cleaning time by 70% and automated report generation for weekly meetings.,"Python, Pandas, Excel Automation",https://github.com/yourname/excel-automation
11,IoT Smart Home System,Developed an IoT-based smart home system using Raspberry Pi and sensors. Built a dashboard to monitor temperature and control devices remotely. Integrated MQTT for communication.,"IoT, Raspberry Pi, MQTT, Dashboard",https://github.com/yourname/iot-smart-home
12,AI-Based Job Recommendation,Created a job recommendation system using NLP to match candidate profiles with job descriptions. Used embeddings and cosine similarity to rank best-fit jobs.,"NLP, Embeddings, Python, Job Matching",https://github.com/yourname/job-recommendation
